Y	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23
0	mieszk. wynajemm	9874,99	11068,69	ma³e m.	œrednie	biologiczne	57	39	53898,07	etat	ma³e m.	rodz. 2 os	49956,83	prywatny PL	duzy	tak	nie	tak	nie	nie	nie	1	1
0	dom wynajem	7054,27	6935,85	osiedle	mgr	biologiczne	41	25	67907,42	zlecenie 	osiedle	rodz. > 2 os.	0	prywatny PL	duzy	tak	tak	nie	nie	tak	nie	0	1
0	mieszk. w³.	9842,73	9971,89	du¿e m.	licencjat	biologiczne	55	37	93573,08	etat	du¿e m.	rodz. 2 os	46206,48	publiczny	micro	nie	tak	nie	tak	nie	nie	1	1
0	mieszk. wynajemm	10181,6	4339,12	œrednie m.	œrednie	Ekonomiczne	42	23	23535,71	zlecenie 	du¿e m.	rodz. > 2 os.	52857,13	zagraniczny	duzy	tak	nie	nie	tak	nie	nie	2	1
0	mieszk. w³.	11917,07	5156,14	osiedle	œrednie	techniczne	63	47	17568,81	etat	osiedle	rodz. 2 os	63866,62	zagraniczny	duzy	tak	tak	nie	nie	nie	nie	1	2
0	mieszk. w³.	11838,36	10810,61	du¿e m.	licencjat	techniczne	48	28	58653,92	etat	osiedle	rodz. > 2 os.	74777,34	publiczny	œredni	tak	nie	tak	tak	tak	tak	1	1
0	mieszk. wynajemm	9367,2	6223,67	du¿e m.	mgr	biologiczne	62	45	34836,14	etat	osiedle	rodz. > 2 os.	64163,69	prywatny PL	duzy	tak	tak	tak	tak	tak	tak	2	1
0	dom	9942,29	9721,86	œrednie m.	mgr	œci³e	43	25	27763,3	zlecenie 	œrednie m.	rodz. > 2 os.	88251,32	zagraniczny	œredni	tak	nie	nie	tak	tak	tak	1	1
0	mieszk. wynajemm	7876,72	7119,9	osiedle	licencjat	Ekonomiczne	58	41	21945,6	etat	osiedle	rodz. 1 os	81858,02	zagraniczny	œredni	tak	nie	nie	tak	tak	nie	0	1
0	dom	11700,7	13573,41	osiedle	mgr	techniczne	56	39	-10982,47	etat	osiedle	rodz. > 2 os.	97224,75	prywatny PL	œredni	tak	tak	nie	nie	nie	nie	2	1
0	dom	9194,78	7675,05	osiedle	gimnazjum	ogolne	52	32	38557,56	etat	du¿e m.	rodz. 1 os	93332,09	publiczny	œredni	tak	tak	tak	nie	nie	nie	1	1
0	mieszk. w³.	11707,43	12503,21	du¿e m.	mgr	techniczne	49	33	24692,67	etat	ma³e m.	rodz. 2 os	118439,35	publiczny	œredni	nie	nie	tak	tak	tak	nie	2	1
0	dom	10912,08	5288,73	osiedle	œrednie	Ekonomiczne	49	31	-2587,56	etat	ma³e m.	rodz. > 2 os.	71273,31	prywatny PL	duzy	tak	nie	nie	nie	tak	tak	0	1
0	mieszk. w³.	9051,62	4952,25	osiedle	licencjat	Ekonomiczne	38	21	-11201,19	zlecenie 	ma³e m.	rodz. 1 os	37990,5	publiczny	duzy	nie	tak	nie	tak	tak	nie	0	3
0	mieszk. w³.	9883,96	6705,45	ma³e m.	mgr	techniczne	47	30	27443,71	etat	ma³e m.	rodz. 2 os	36924,14	zagraniczny	œredni	tak	nie	tak	tak	nie	tak	0	3
0	mieszk. w³.	12631,73	10343,91	osiedle	mgr	prawnicze	53	35	27683,99	dzia³alnoœæ	du¿e m.	rodz. > 2 os.	106604,37	publiczny	œredni	tak	tak	nie	tak	tak	nie	1	2
0	mieszk. w³.	13868,92	15480,16	osiedle	œrednie	biologiczne	41	24	23582,95	zlecenie 	ma³e m.	rodz. > 2 os.	50579,7	prywatny PL	œredni	tak	tak	tak	nie	nie	nie	2	1
0	mieszk. wynajemm	9943,96	9562,91	œrednie m.	œrednie	biologiczne	41	21	30393,59	etat	du¿e m.	rodz. 1 os	78884,19	zagraniczny	œredni	tak	tak	tak	nie	tak	tak	2	1
0	mieszk. w³.	10252,28	9577,48	osiedle	mgr	Ekonomiczne	58	39	-6916,43	dzia³alnoœæ	ma³e m.	rodz. 2 os	104391,57	zagraniczny	œredni	tak	tak	tak	tak	nie	nie	2	1
0	mieszk. w³.	12776,16	13182,63	du¿e m.	mgr	techniczne	31	11	44796,18	etat	osiedle	rodz. > 2 os.	82971,65	publiczny	œredni	tak	nie	nie	nie	tak	tak	1	1
0	mieszk. w³.	9983,24	4921,68	osiedle	œrednie	biologiczne	50	34	27976,25	etat	osiedle	rodz. > 2 os.	39614,49	prywatny PL	œredni	tak	tak	nie	tak	tak	nie	3	1
0	mieszk. w³.	11055,63	15673,49	œrednie m.	mgr	Ekonomiczne	57	39	37446,85	zlecenie 	du¿e m.	rodz. 1 os	82829,5	prywatny PL	duzy	tak	tak	nie	tak	tak	nie	0	1
0	dom	12758,99	14324,61	osiedle	œrednie	humanistyczne	43	25	108148,87	etat	osiedle	rodz. 2 os	65606,75	publiczny	duzy	tak	tak	tak	nie	tak	tak	2	1
0	dom	10811,81	6112,63	du¿e m.	œrednie	biologiczne	62	42	46443,08	etat	œrednie m.	rodz. > 2 os.	82417,71	zagraniczny	œredni	tak	tak	tak	tak	nie	nie	1	3
0	mieszk. w³.	9304,49	11286,59	œrednie m.	gimnazjum	ogolne	37	20	30790,75	zlecenie 	ma³e m.	rodz. 1 os	54102,54	publiczny	œredni	nie	tak	tak	nie	tak	nie	1	1
0	mieszk. wynajemm	10801,07	11096,57	œrednie m.	œrednie	œci³e	31	11	5230,68	dzia³alnoœæ	œrednie m.	rodz. 2 os	23927,55	publiczny	duzy	tak	tak	nie	nie	nie	nie	1	2
0	dom	9187,29	9529,54	osiedle	licencjat	techniczne	35	17	23839,49	etat	du¿e m.	rodz. > 2 os.	50274,02	publiczny	duzy	nie	tak	tak	nie	tak	nie	2	1
0	dom	10559,12	7279,51	du¿e m.	mgr	techniczne	59	42	46858,64	dzia³alnoœæ	œrednie m.	rodz. 2 os	95347,68	prywatny PL	œredni	nie	tak	tak	nie	nie	nie	2	1
